Unnamed: 0,question,answer
601,yeah i think ill go,am i going to see you there
602,whats going on,nothing really you
603,nothing really you,im throwing a party next saturday
604,im throwing a party next saturday,is that right
605,is that right,yeah are you going to come
606,yeah are you going to come,im sorry i cant
607,im sorry i cant,why not
608,why not,i dont really want to
609,i dont really want to,well why dont you
610,well why dont you,i hate going to parties
611,i hate going to parties,well thats okay
612,well thats okay,yeah sorry
613,whats up,nothing how about you
614,nothing how about you,next saturday im going to have a party
615,next saturday im going to have a party,oh really
616,oh really,you are coming
617,you are coming,probably not
618,probably not,why is that
619,why is that,i dont feel like going
620,i dont feel like going,why not
621,why not,i really cant stand going to parties
622,i really cant stand going to parties,i understand i guess
623,i understand i guess,sorry about that
624,whats happening,not a lot what about you
625,not a lot what about you,im having a party next saturday
626,im having a party next saturday,thats nice
627,thats nice,are you going to be there
628,are you going to be there,i dont think so
629,i dont think so,is there a reason why
630,is there a reason why,i just really dont want to go
631,i just really dont want to go,how come
632,how come,i dont really like parties
633,i dont really like parties,i wish you would go but thats okay
634,whats up,nothing much whats going on
635,nothing much whats going on,im having a party this friday
636,im having a party this friday,oh really thats nice
637,oh really thats nice,i wanted to see if you wanted to come
638,i wanted to see if you wanted to come,this friday sorry i already have plans
